Source;LoadingType;ProblemInstance;ExecutionTime;ProblamGroup
SIMONIS;DISK;MODEL001;368,9563968;MODEL001
SIMONIS;DISK;MODEL002;369,3018982;MODEL002
SIMONIS;DISK;MODEL003;369,5685134;MODEL003
SIMONIS;DISK;MODEL004;372,9862258;MODEL004
SIMONIS;DISK;SET1;372,0349965;SET1
SIMONIS;DISK;SET2;378,8100731;SET2
SIMONIS;DISK;SET3;394,5506718;SET3
SIMONIS;DISK;SET4;401,2469075;SET4
SIMONIS;DISK;SET5;339,5380142;SET5
TEMPELMEIER;DISK;TM_111AA_1;120,7800677;TM_1
TEMPELMEIER;DISK;TM_112AA_1;124,8094192;TM_1
TEMPELMEIER;DISK;TM_113AA_1;127,0684912;TM_1
TEMPELMEIER;DISK;TM_114AA_1;125,2802854;TM_1
TEMPELMEIER;DISK;TM_121AA_1;123,8617558;TM_1
TEMPELMEIER;DISK;TM_122AA_1;123,3801625;TM_1
TEMPELMEIER;DISK;TM_123AA_1;120,5715902;TM_1
TEMPELMEIER;DISK;TM_124AA_1;118,4148672;TM_1
TEMPELMEIER;DISK;TM_131AA_1;122,6638994;TM_1
TEMPELMEIER;DISK;TM_132AA_1;123,1000335;TM_1
TEMPELMEIER;DISK;TM_133AA_1;123,2028089;TM_1
TEMPELMEIER;DISK;TM_134AA_1;120,9560871;TM_1
TEMPELMEIER;DISK;TM_111AA_2;122,0355868;TM_1
TEMPELMEIER;DISK;TM_112AA_2;129,6851716;TM_1
TEMPELMEIER;DISK;TM_113AA_2;123,5337346;TM_1
TEMPELMEIER;DISK;TM_114AA_2;121,8633928;TM_1
TEMPELMEIER;DISK;TM_121AA_2;126,5027697;TM_1
TEMPELMEIER;DISK;TM_122AA_2;133,0031164;TM_1
TEMPELMEIER;DISK;TM_123AA_2;124,2767565;TM_1
TEMPELMEIER;DISK;TM_124AA_2;146,2555876;TM_1
TEMPELMEIER;DISK;TM_131AA_2;156,5495524;TM_1
TEMPELMEIER;DISK;TM_132AA_2;129,1709678;TM_1
TEMPELMEIER;DISK;TM_133AA_2;126,8954885;TM_1
TEMPELMEIER;DISK;TM_134AA_2;122,398247;TM_1
TEMPELMEIER;DISK;TM_111AC_1;119,3976805;TM_1
TEMPELMEIER;DISK;TM_112AC_1;120,3334172;TM_1
TEMPELMEIER;DISK;TM_113AC_1;125,4426706;TM_1
TEMPELMEIER;DISK;TM_114AC_1;121,1173882;TM_1
TEMPELMEIER;DISK;TM_121AC_1;126,3835576;TM_1
TEMPELMEIER;DISK;TM_122AC_1;118,8469422;TM_1
TEMPELMEIER;DISK;TM_123AC_1;118,7210898;TM_1
TEMPELMEIER;DISK;TM_124AC_1;119,3081801;TM_1
TEMPELMEIER;DISK;TM_131AC_1;115,8108332;TM_1
TEMPELMEIER;DISK;TM_132AC_1;116,4199092;TM_1
TEMPELMEIER;DISK;TM_133AC_1;115,9367983;TM_1
TEMPELMEIER;DISK;TM_134AC_1;117,4681106;TM_1
TEMPELMEIER;DISK;TM_111AC_2;116,3649535;TM_1
TEMPELMEIER;DISK;TM_112AC_2;115,8518775;TM_1
TEMPELMEIER;DISK;TM_113AC_2;114,9061484;TM_1
TEMPELMEIER;DISK;TM_114AC_2;116,0664856;TM_1
TEMPELMEIER;DISK;TM_121AC_2;121,6839156;TM_1
TEMPELMEIER;DISK;TM_122AC_2;116,8600736;TM_1
TEMPELMEIER;DISK;TM_123AC_2;134,0856524;TM_1
TEMPELMEIER;DISK;TM_124AC_2;118,0728154;TM_1
TEMPELMEIER;DISK;TM_131AC_2;115,9853585;TM_1
TEMPELMEIER;DISK;TM_132AC_2;118,9958565;TM_1
TEMPELMEIER;DISK;TM_133AC_2;116,8343272;TM_1
TEMPELMEIER;DISK;TM_134AC_2;116,1604536;TM_1
TEMPELMEIER;DISK;TM_111GA_1;117,2676277;TM_1
TEMPELMEIER;DISK;TM_112GA_1;115,6082029;TM_1
TEMPELMEIER;DISK;TM_113GA_1;119,497551;TM_1
TEMPELMEIER;DISK;TM_114GA_1;114,6806068;TM_1
TEMPELMEIER;DISK;TM_121GA_1;115,4548643;TM_1
TEMPELMEIER;DISK;TM_122GA_1;116,1918621;TM_1
TEMPELMEIER;DISK;TM_123GA_1;115,8855302;TM_1
TEMPELMEIER;DISK;TM_124GA_1;121,846195;TM_1
TEMPELMEIER;DISK;TM_131GA_1;119,7091253;TM_1
TEMPELMEIER;DISK;TM_132GA_1;115,4832244;TM_1
TEMPELMEIER;DISK;TM_133GA_1;115,3756466;TM_1
TEMPELMEIER;DISK;TM_134GA_1;117,8264675;TM_1
TEMPELMEIER;DISK;TM_111GA_2;117,372144;TM_1
TEMPELMEIER;DISK;TM_112GA_2;117,2337203;TM_1
TEMPELMEIER;DISK;TM_113GA_2;115,6723008;TM_1
TEMPELMEIER;DISK;TM_114GA_2;116,0928485;TM_1
TEMPELMEIER;DISK;TM_121GA_2;119,178757;TM_1
TEMPELMEIER;DISK;TM_122GA_2;116,9131196;TM_1
TEMPELMEIER;DISK;TM_123GA_2;115,5442591;TM_1
TEMPELMEIER;DISK;TM_124GA_2;115,9041095;TM_1
TEMPELMEIER;DISK;TM_131GA_2;118,536288;TM_1
TEMPELMEIER;DISK;TM_132GA_2;132,8922143;TM_1
TEMPELMEIER;DISK;TM_133GA_2;118,3923209;TM_1
TEMPELMEIER;DISK;TM_134GA_2;121,9526656;TM_1
TEMPELMEIER;DISK;TM_111GC_1;116,0719979;TM_1
TEMPELMEIER;DISK;TM_112GC_1;116,4500911;TM_1
TEMPELMEIER;DISK;TM_113GC_1;119,9248705;TM_1
TEMPELMEIER;DISK;TM_114GC_1;116,8449535;TM_1
TEMPELMEIER;DISK;TM_121GC_1;116,1874161;TM_1
TEMPELMEIER;DISK;TM_122GC_1;115,7055547;TM_1
TEMPELMEIER;DISK;TM_123GC_1;116,767796;TM_1
TEMPELMEIER;DISK;TM_124GC_1;119,2469053;TM_1
TEMPELMEIER;DISK;TM_131GC_1;114,7073674;TM_1
TEMPELMEIER;DISK;TM_132GC_1;116,4920084;TM_1
TEMPELMEIER;DISK;TM_133GC_1;115,053153;TM_1
TEMPELMEIER;DISK;TM_134GC_1;116,9665651;TM_1
TEMPELMEIER;DISK;TM_111GC_2;115,972831;TM_1
TEMPELMEIER;DISK;TM_112GC_2;116,1525633;TM_1
TEMPELMEIER;DISK;TM_113GC_2;116,3018765;TM_1
TEMPELMEIER;DISK;TM_114GC_2;116,7282612;TM_1
TEMPELMEIER;DISK;TM_121GC_2;119,395164;TM_1
TEMPELMEIER;DISK;TM_122GC_2;116,1520061;TM_1
TEMPELMEIER;DISK;TM_123GC_2;116,7685633;TM_1
TEMPELMEIER;DISK;TM_124GC_2;114,9564681;TM_1
TEMPELMEIER;DISK;TM_131GC_2;116,1782904;TM_1
TEMPELMEIER;DISK;TM_132GC_2;117,7512524;TM_1
TEMPELMEIER;DISK;TM_133GC_2;114,9671302;TM_1
TEMPELMEIER;DISK;TM_134GC_2;114,8089714;TM_1
TEMPELMEIER;DISK;TM_211AA_1;115,2730198;TM_2
TEMPELMEIER;DISK;TM_212AA_1;116,0990796;TM_2
TEMPELMEIER;DISK;TM_213AA_1;120,0014491;TM_2
TEMPELMEIER;DISK;TM_214AA_1;115,4983637;TM_2
TEMPELMEIER;DISK;TM_221AA_1;118,0207944;TM_2
